id,loss
250000,8.401143266403071
250001,5.090389858599924
250002,9.089619094447215
250003,8.019453283867296
250004,6.851826566288331
250005,8.759204764175406
250006,9.24953366753627
250007,6.66784559219988
250008,7.503219925450949
250009,8.387100726275232
250010,4.96576412121338
250011,7.193894566302275
250012,5.999057734957249
250013,6.455577353086225
250014,10.48433124666865
250015,3.6045784233315667
250016,6.719153846242584
250017,7.411498457110463
250018,5.22116544317797
250019,5.769136922042081
250020,7.803646852207066
250021,8.285082880292656
250022,7.4842391765256195
250023,8.238225722434901
250024,5.059353270754575
250025,7.062398636645726
250026,8.758498466228215
250027,5.168851336815299
250028,7.427370178623429
250029,7.074893860652702
250030,6.9998653606836445
250031,6.636412530749192
250032,5.491100696394219
250033,4.725681366171306
250034,7.9814510152505385
250035,8.416232843040678
250036,6.158305075656863
250037,8.834977851972065
250038,5.321804056358759
250039,6.141084540660675
250040,8.276103409067122
250041,5.848947713188116
250042,7.385696599513239
250043,8.722779953242874
250044,4.766554693866196
250045,7.5892081911677565
250046,7.080437960896162
250047,6.341145645186562
250048,8.854433695847913
250049,5.328438873755275
250050,6.665521672967605
250051,9.389878413930436
250052,9.023780082383952
250053,7.315569863716985
250054,4.811396321032116
250055,6.547062989023752
250056,6.256866398122918
250057,8.752262254153782
250058,8.032878704831589
250059,6.612441711751307
250060,6.3023685863448495
250061,6.617209246198611
250062,6.274605315589852
250063,6.848560782548138
250064,5.830349745098554
250065,5.001758294057129
250066,5.258472232495379
250067,4.359326546890479
250068,6.456892109930074
250069,3.8902481651523058
250070,6.064190301138568
250071,5.8568278571155545
250072,8.452446745508489
250073,5.709917351911422
250074,7.404620632860313
250075,4.791040573938833
250076,7.189038345458037
250077,3.545564735967961
250078,5.182680635180574
250079,5.421031114273659
250080,5.798582999786591
250081,10.195049916395194
250082,10.646103376789089
250083,7.197575117657019
250084,6.478932465283986
250085,8.875437299215434
250086,7.034330982036354
250087,6.346485233964137
250088,4.322211329469662
250089,8.799564777976062
250090,6.522658774041483
250091,6.830541841192078
250092,7.572920893422743
250093,7.657208271713843
250094,7.668544468567976
250095,5.931492519269983
250096,6.065987370671548
250097,9.051394315171741
250098,5.776716276979102
250099,5.118211517101206
250100,5.795471478377918
250101,7.328147324324615
250102,6.398227586811826
250103,5.534109236690044
250104,7.114989537889007
